zip,winred_donations,estimate,moe,per_capita_donations
21778,138,880,260,156.81818181818184
21251,50,319,106,156.73981191222572
21078,3100,19820,684,156.4076690211907
21921,6986,45081,1659,154.96550653268562
20685,1045,6750,915,154.8148148148148
20778,393,2564,673,153.2761310452418
21918,682,4462,668,152.84625728372927
21161,855,5625,877,152
21102,1820,12024,959,151.36393878908848
21050,2703,18076,1132,149.53529541934057
21601,3519,23589,768,149.1797024036627
20882,2077,13962,1090,148.76092250393927
21701,6057,40787,1700,148.50319954887587
21108,2665,18046,1493,147.6781558240053
21219,1407,9605,1032,146.48620510150965
21146,4267,29710,1689,143.62167620329853
20816,2495,17390,1099,143.4732604945371
21811,3477,24456,739,142.17369970559372
21793,1537,10882,788,141.24241867303806
20764,462,3280,607,140.85365853658536
20628,88,631,331,139.4611727416799
21236,5367,38632,2124,138.92627873265687
21071,73,526,276,138.78326996197717
21048,1342,9759,1013,137.5140895583564
20645,104,763,271,136.3040629095675
21638,688,5064,606,135.8609794628752
20872,1755,12932,953,135.70986699659758
21012,3137,23144,1689,135.5426892499136
21903,722,5332,361,135.40885221305328
21622,47,348,105,135.05747126436782
21617,1393,10401,813,133.92942986251322
21817,551,4138,534,133.15611406476557
20832,3362,25488,1217,131.9052102950408
21043,6185,47309,2147,130.7362235515441
21874,289,2222,493,130.06300630063006
21713,1288,9999,740,128.8128812881288
21541,216,1682,303,128.41854934601665
21561,323,2517,391,128.32737385776718
20860,292,2279,525,128.12637121544537
21074,1937,15146,1206,127.88855143272151
21131,986,7722,710,127.6871276871277
20779,125,992,354,126.00806451612902
21856,116,924,347,125.54112554112554
20876,3321,26572,2086,124.98118320036127
21769,1570,12562,852,124.98009871039643
21153,84,676,204,124.2603550295858
20620,163,1325,479,123.01886792452831
21403,3952,32207,1921,122.70624398422703
20815,3805,31080,1537,122.42599742599742
21531,246,2014,321,122.1449851042701
21037,2560,21060,1490,121.55745489078824
21042,5156,42528,1902,121.23777276147479
20833,963,7949,1026,121.14731412756322
20684,75,627,210,119.61722488038278
21047,1600,13419,1285,119.23392205082347
21872,67,573,353,116.9284467713787
21650,36,308,172,116.88311688311688
20877,4482,38524,1975,116.34305887239124
21502,4775,41291,828,115.64263398803614
21804,4477,38722,1490,115.61902794277155
21031,3,26,42,115.38461538461539
20850,5886,51072,1675,115.24906015037594
21727,756,6588,422,114.75409836065575
21157,4538,39816,1944,113.97428169580068
20839,18,161,103,111.80124223602485
20732,1193,10676,625,111.74597227426001
21702,5174,46596,1984,111.03957421237874
21144,4088,37041,2081,110.36419103155961
20910,4974,45072,1708,110.35676251331203
21046,1732,15894,943,108.9719390965144
21128,1706,15934,1436,107.06664993096524
20640,1132,10629,900,106.50108194562047
21915,262,2469,415,106.1158363710004
21787,1154,10879,601,106.07592609614855
21156,38,362,247,104.97237569060773
20878,6764,65954,1713,102.55632713709555
21863,502,4913,619,102.17789537960513
20618,111,1087,369,102.11591536338547
21756,336,3303,567,101.72570390554043
20664,281,2780,483,101.07913669064749
21230,3292,32883,1938,100.11252014718852
21030,2511,25133,1745,99.90848684995822
21017,616,6177,657,99.72478549457665
21529,57,575,181,99.13043478260869
20711,727,7435,1156,97.78076664425018
21821,73,765,218,95.42483660130718
21849,320,3366,699,95.06833036244801
20619,1321,13925,1248,94.86535008976661
21224,4252,44915,2124,94.66770566625848
20895,1821,19273,1272,94.48451201162247
21795,917,9772,1035,93.83954154727795
21770,723,7786,1211,92.85897765219624
20632,74,802,416,92.26932668329177
20777,293,3220,494,90.99378881987577
21901,1807,19938,1527,90.6309559634868
20852,4380,48379,2333,90.53514954835775
21550,1221,13640,705,89.51612903225806
21158,2036,23011,1135,88.4794228847073
21755,504,5706,642,88.32807570977918
21090,912,10346,1099,88.15000966557123
21140,372,4255,790,87.42655699177439
21788,986,11412,864,86.40028040658954
21208,3218,37319,1885,86.22953455344462
20606,21,247,179,85.02024291497976
20861,257,3031,869,84.79049818541735
20653,2289,27053,1548,84.61168816767086
20613,1242,14800,1062,83.91891891891892
20853,2626,31794,2511,82.59420016355287
20736,765,9274,835,82.48867802458486
20814,2487,30234,1563,82.25838460011907
21716,540,6630,344,81.44796380090499
21841,80,988,309,80.97165991902834
20905,1413,17451,1768,80.96957194430118
21669,15,186,64,80.64516129032258
20714,382,4767,973,80.13425634571009
20841,744,9312,1013,79.89690721649484
21864,62,778,287,79.69151670951156
20817,3009,37795,1489,79.61370551660272
21054,1243,15687,2248,79.23758526168164
21061,4334,55172,2745,78.5543391575437
21221,3435,43822,2188,78.38528592944184
21625,181,2329,368,77.71575783598111
21152,506,6517,978,77.64308731011202
21912,116,1495,465,77.59197324414716
