zip,actblue_donations,estimate,moe,per_capita_donations
21617,3054,10401,813,293.62561292183443
21919,995,3451,578,288.3222254419009
21076,6352,22041,1730,288.1901910076675
20618,313,1087,369,287.94848206071754
21782,1239,4389,715,282.2966507177033
21771,8933,31653,2013,282.21653555745115
20706,12313,43797,2670,281.1379774870425
21794,648,2309,465,280.6409701169337
20785,11413,41281,1821,276.47101572151837
21102,3317,12024,959,275.8649367930805
21152,1796,6517,978,275.58692649992327
21779,475,1731,677,274.4078567302137
21742,9377,34549,1599,271.4116182812816
21133,8682,32070,1892,270.7202993451824
21224,12042,44915,2124,268.10642324390517
21530,475,1783,406,266.404935501963
21791,1283,4855,783,264.2636457260556
20646,5566,21248,1174,261.95406626506025
21015,7969,30485,1828,261.407249466951
21028,777,2974,395,261.2642905178211
20645,199,763,271,260.81258191349934
20903,6587,25324,2283,260.1089875217185
21784,9655,37219,1401,259.41051613423247
21014,9571,37097,1207,257.99929913470095
20708,7135,27909,1610,255.65229854168908
20650,3964,15522,1211,255.37946140961216
20601,6976,27328,1457,255.26932084309135
21770,1985,7786,1211,254.94477266889288
21053,776,3051,680,254.34283841363487
21207,13152,51765,2665,254.07128368588815
21666,3570,14193,955,251.53244557176075
20616,1703,6792,1180,250.736160188457
21075,8984,36176,2498,248.34144183989383
21788,2817,11412,864,246.84542586750788
20754,1806,7344,1018,245.91503267973854
21904,1461,5975,651,244.51882845188285
21244,9590,39501,2300,242.7786638312954
20657,5067,21054,1291,240.66685665431748
21856,221,924,347,239.17748917748918
21658,916,3883,420,235.90007725985063
21822,632,2686,755,235.2941176470588
20747,9223,39279,1803,234.80740344713462
21676,78,333,181,234.23423423423424
20602,6758,28988,1690,233.1309507382365
20667,37,159,180,232.70440251572327
21541,381,1682,303,226.51605231866824
20692,161,721,310,223.3009708737864
21842,2437,10951,524,222.53675463427996
21084,1638,7366,989,222.37306543578606
20687,80,360,210,222.2222222222222
21703,8726,39606,1671,220.32015351209412
20639,3313,15058,1086,220.0159383716297
21638,1114,5064,606,219.98420221169036
21613,3942,17945,506,219.67121760936195
21157,8691,39816,1944,218.2790837854129
21903,1147,5332,361,215.11627906976744
21217,6787,31634,1810,214.54763861667826
21756,706,3303,567,213.74508023009386
21778,187,880,260,212.5
21048,2073,9759,1013,212.41930525668616
21793,2311,10882,788,212.36904980702076
20711,1572,7435,1156,211.43241425689308
20899,30,143,80,209.7902097902098
20636,2316,11089,1415,208.85562268915143
21804,7964,38722,1490,205.6711946696968
21034,608,2958,452,205.54428668018932
21821,155,765,218,202.6143790849673
20746,5612,28078,1728,199.87178573972506
21050,3563,18076,1132,197.11219296304492
21074,2983,15146,1206,196.9496896870461
20619,2733,13925,1248,196.2657091561939
21047,2633,13419,1285,196.21432297488636
21234,12937,66095,2210,195.73341402526668
21869,178,943,213,188.7592788971368
21158,4343,23011,1135,188.7358219981748
21155,578,3063,660,188.70388507998695
21229,8355,44332,2465,188.46431471623208
21215,10084,53674,2752,187.87494876476507
20656,38,203,119,187.19211822660097
21090,1933,10346,1099,186.83549197757588
20693,226,1210,518,186.77685950413223
21061,10219,55172,2745,185.22076415573116
20678,2380,12874,846,184.8687276681684
21017,1139,6177,657,184.39371863364093
21161,1036,5625,877,184.17777777777778
21776,1182,6434,715,183.71153248368043
21713,1829,9999,740,182.91829182918292
20794,2890,16035,1029,180.23074524477707
20784,5749,32191,1811,178.59028921127023
20743,6852,38692,2248,177.09087149798407
21502,7293,41291,828,176.62444600518273
21660,722,4100,346,176.09756097560975
21902,44,251,86,175.2988047808765
21009,5538,32565,2153,170.05988023952096
21085,2745,16590,1310,165.4611211573237
21795,1602,9772,1035,163.93778141629144
21162,705,4322,618,163.11892642295234
21837,509,3165,441,160.82148499210112
21849,541,3366,699,160.72489601901367
20701,127,794,271,159.94962216624685
21645,196,1231,367,159.22014622258325
21734,137,861,226,159.11730545876887
21863,778,4913,619,158.35538367596175
21673,437,2793,352,156.4625850340136
21122,9609,61444,2461,156.3863029750667
21921,6975,45081,1659,154.72150129766422
21914,114,740,256,154.05405405405406
20737,3706,24438,1646,151.64907111874948
21555,229,1515,317,151.15511551155114
21627,4,27,27,148.14814814814815
20680,87,588,330,147.9591836734694
20640,1569,10629,900,147.6150155235676
21643,740,5021,515,147.3809998008365
21801,4484,30766,1652,145.74530325684196
21236,5621,38632,2124,145.501138952164
21740,9084,62760,1925,144.74187380497133
20684,90,627,210,143.54066985645932
